category,total_crowns,total_canopy_area_ha,tree_count,shrub_count,tree_deciduous,tree_conifer,shrub_deciduous,shrub_conifer,conifer_pct
Non vegetated,2956767,13691.4,2339866,616901,1787300,552566,518990,97911,22.0
Vegetated,2124537,7470.8,1906651,217886,1005772,900879,151445,66441,45.5
